date;DU UH Equity;SCL LN Equity;BMA AR Equity;GCLA AR Equity;EBS AV Equity;OMV AV Equity;VER AV Equity;ABP AU Equity;AGL AU Equity;AHY AU Equity;AIO AU Equity;AMC AU Equity;ANZ LN Equity;AST AU Equity;ASX AU Equity;AWC AU Equity;AWE AU Equity;AZJ AU Equity;BGA AU Equity;BHP AU Equity;BKW AU Equity;BPT AU Equity;BSL AU Equity;BWP AU Equity;BXB LN Equity;CBA AU Equity;CCL AU Equity;CGC AU Equity;CGF AU Equity;CHC AU Equity;CIM AU Equity;CSR AU Equity;CTX AU Equity;CWN AU Equity;CWY AU Equity;DOW AU Equity;DUE AU Equity;DXS AU Equity;EHL AU Equity;EVN AU Equity;FMG AU Equity;FXJ AU Equity;GMG AU Equity;GNC AU Equity;GPT AU Equity;GWA AU Equity;IAG AU Equity;IFN AU Equity;IGO AU Equity;IPL AU Equity;KCN AU Equity
31/12/1996;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30/01/1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27/02/1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31/03/1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30/04/1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29/05/1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30/06/1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31/07/1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31/08/1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30/09/1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
